UMAP1,UMAP2,company
36.14245,0.31142452,"Dewolff , Boberg & Associates Inc"
41.79844,-13.809361,Siam Makro Pcl.
-0.87828034,4.3409386,Rangam Infotech Private Limited
5.51963,0.13646296,"Beam Mobility Korea, 빔모빌리티코리아"
0.9740517,5.6433163,AGM Tech Solutions - A WBENC and MBE Certified company that specializes in providing IT Staffing
1.202277,6.032801,Analytic Solutions Group
6.3441076,-1.7832127,Deaconess
-1.8568811,3.3382494,Liberty Latin America
-0.38498163,1.1561468,Onset Technologies
-37.5722,29.941587,Trianel GmbH
-37.556118,29.95003,Urrly
1.2147361,-1.37732,datamaxis
-8.918233,9.567369,MOHAN MANAGEMENT CONSULTANTS PTE LTD
-0.63810873,3.2378104,Johns Hopkins Health System
1.4324882,3.2318125,National Accident Law - Advert Layout
-3.401802,7.4348793,ELK
1.6525775,-2.2807202,Jumbo Supermarkten
-0.8811698,2.797569,NXP Semiconductors
16.067924,0.7301143,CenterWell Primary Care
41.809612,-13.818526,Kerzner International Management
-9.381845,9.37171,Knak
-0.8314546,1.5752231,Frontier
-0.34518608,5.1870475,Groupe Demeter
-0.11873078,-32.75835,Worldwide People Ltd
1.6576991,-2.28915,Leap29
1.6547412,5.686263,"Penn Medicine, University of Pennsylvania Health System"
-21.657398,-24.584616,Grafton
35.54029,0.06527306,maconda
36.119892,0.2928758,GR TRANSPORT EXPRESS INC
-0.3015721,1.0451363,Logiqa Technologies
-3.0974689,4.5730004,NV5
0.61430454,4.804046,Quantum Technologies. LLC
-3.7454832,-5.2855225,Semrush
35.77404,0.26888466,ATC - American Tower Germany
35.897713,0.26834467,Outstaff Your Team
-0.18892846,-32.809742,Harnham Search & Selection
13.917962,12.416875,GenPsych OPC
-37.53128,29.96454,ГКУ Инфогород
-2.6186516,0.3549309,OSTechnical
1.3550537,2.390889,CloudSpace LLC
-0.3784336,4.782665,Center for Research in Security Prices
-9.024696,16.455542,Auto Trader UK
-37.555267,29.95348,Svenska Postkodlotteriet
1.461064,-1.6465276,MSC Technology Italia srl
-0.14962141,-32.788155,ALSTEF Group
35.859047,0.2553994,Zaurac Technologies Pte. Ltd.
0.6377509,4.9018097,Devoteam Data Driven
-37.58148,29.912718,Sybilla Technologies
1.1798946,0.825225,M-net Telekommunikations GmbH
3.5744789,1.3899304,"Total Health Care, Inc."
-21.651728,-24.475224,PONTOON
-21.73738,-24.540985,RM Education Limited
