UMAP1,UMAP2,job_id,company,entry_count,salary_year_avg,aws,azure,excel,flow,go,looker,oracle,power bi,powerpoint,python,r,sas,snowflake,spss,sql,sql server,tableau,word,cluster,cluster_size
8.857258,22.53254,1260520,Rutgers University,64,86521.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,12,212
11.5491295,-1.9788878,1260972,OKX,9,111175.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,26,151
5.6195154,52.502796,1262139,"Torin Consulting, Inc.",16,75000.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,11,219
10.147486,-2.566848,1262268,Applaudo Studios,16,102500.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,26,151
13.830336,27.316435,1262277,Jobot,1,82500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,268
35.23666,-1.9011624,1262505,Iwebgrocer,4,49440.3515625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,175
35.460068,-2.0435405,1262610,Insight Global,4,72500.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,175
35.512363,-1.6641388,1262617,"Ali Awad Law, P.C.",4,47500.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,175
-17.29663,9.463603,1262696,Cover Whale,9,107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3,117
10.760107,23.032295,1263074,"Senate, NYS",25,55000.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,12,212
4.6892366,41.5882,1263152,NYS Department of Health,4,109164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1,67
8.983059,23.102451,1263539,Northrop Grumman,81,90000.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,12,212
29.449764,15.195141,1263560,CITY OF ALBANY,1,64350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,108
44.37907,-19.605118,1263819,Lancesoft,1,105120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,381
-17.349562,9.433033,1263918,"Acadia Technologies, Inc.",9,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3,117
4.5741377,6.9899344,1263949,Cherokee Nation Businesses,25,115000.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,5,260
-3.7684617,-29.155579,1264852,Pop-Up Talent,16,80000.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,13,193
42.69609,-19.875088,1264889,Get It Recruit - Information Technology,16,70000.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,4,381
10.938211,-3.7720604,1267136,Hays,25,111000.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,-1,67
3.359754,0.5627891,1267323,block,49,130500.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,10,217
43.85135,-19.560951,1267740,American Express,4,117500.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,381
